惶惧,0
惶恐,5
惶恐不安,4
惶然,0
惶然不安,0
惶悚,0
惶遽,0
灰溜溜,0
灰头灰脸,0
灰头土脸,0
灰心,1
灰心丧气,0
回头,25
悔,46
悔不当初,2
悔不该,0
悔恨,2
悔悟,0
悔之不及,0
悔之晚矣,0
悔之无及,0
魂不附体,0
魂飞魄散,0
魂飞天外,0
火,511
火急火燎,1
火冒三丈,2
火烧火燎,0
火头上,0
饥不择食,1
激愤,0
讥嘲,0
讥刺,0
讥讽,0
讥讪,0
讥诮,0
鸡蛋里挑骨头,0
极度悲哀,0
极度悲伤,0
急,362
急巴巴,0
急急巴巴,0
急死,0
急眼,1
疾,85
嫉恨,0
悸栗,0
忌,14
忌惮,2
忌恨,0
见怪,2
见罪,0
将心比心,0
将信将疑,0
焦愁,0
焦急,5
焦虑,8
焦心,0
焦炙,0
焦灼,0
娇羞,0
教训,43
叫苦,3
叫苦不迭,2
叫苦连天,0
叫骂,0
叫嚣,1
解气,1
借古讽今,0
介怀,0
介意,0
进退两难,0
进退维谷,0
惊,116
惊怖,0
惊诧,1
惊呆,3
惊怪,0
惊骇,0
惊慌,1
惊慌失措,0
惊惶,0
惊惧,0
惊恐,3
惊怕,0
惊奇,3
惊奇不已,0
惊叹,3
惊讶,11
惊疑,0
惊异,0
惊悚,0
惊愕,2
窘,6
窘迫,0
揪心,0
疚愧,0
拘束,0
举棋不定,0
沮,0
沮丧,0
惧,12
惧怕,0
眷顾,0
觉得自己理亏,0
绝望,1
开炮,0
看扁,0
看不惯,0
看不开,0
看不起,0
看不上,0
看不上眼,0
看不顺眼,0
看淡,0
看低,0
看轻,0
抗议,5
苛察,0
苛责,0
可怜,8
可惜,2
恐,68
恐慌,11
恐惧,11
口诛笔伐,0
哭丧着脸,0
哭笑不得,6
苦闷,0
苦恼,14
苦涩,0
宽贷,0
宽假,0
宽免,0
宽赦,0
宽恕,0
宽宥,0
狂怒,0
亏心,1
愧,8
愧对,0
愧汗,0
愧恨,0
愧悔,0
愧疚,1
愧怍,0
愧恧,0
愧赧,0
困窘,0
困迫,0
拉不下脸,0
拉不下脸来,0
拉长个脸,0
拉下脸,1
拉下脸来,1
来火,5
来气,1
赖,57
懒得,5
懒洋洋,0
劳神,1
老羞成怒,0
冷嘲热讽,1
冷淡,2
怜,8
怜悯,0
怜惜,0
怜恤,0
脸红脖子粗,0
脸红耳热,0
脸皮薄,1
脸上下不来,0
凉,56
两难,7
亮红灯,1
谅,13
谅解,10
虑,155
乱,190
乱了方寸,0
骂,18
骂不绝口,0
骂大街,0
骂得狗血淋头,0
骂得狗血喷头,0
骂街,0
骂骂咧咧,0
骂娘,0
骂人,4
埋没,0
埋汰,0
埋怨,2
满不在乎,0
满脸愁雾,0
漫骂,0
谩骂,0
毛骨悚然,0
冒火,1
没个好脸,0
没精打采,0
没意思,0
没有好脸,0
闷,34
闷沉沉,0
闷闷,0
闷闷不乐,0
闷郁,0
面斥,0
面带怒色,0
面带嗔色,0
面面相觑,0
面如死灰,0
面如土色,0
面无人色,0
面有愧色,0
面有难色,0
面有愠色,0
藐视,0
蔑,2
蔑视,1
民怨沸腾,0
悯,0
鸣不平,0
鸣冤叫屈,0
摸不准,0
磨不开,0
抹不开,0
漠然视之,0
漠然置之,1
漠视,10
木然,0
目瞪口呆,2
纳罕,0
难,557
难过,1
难堪,2
难受,12
难为情,0
恼,42
恼恨,0
恼火,7
恼怒,1
恼羞成怒,0
闹脾气,0
闹情绪,0
闹性子,0
馁,0
内疚,2
腻,19
腻烦,0
腻歪,0
腻味,0
捏把汗,0
捏一把汗,0
怒,41
怒不可遏,0
怒斥,5
怒冲冲,0
怒发冲冠,0
怒喝,0
怒火冲天,0
怒火中烧,0
怒骂,0
怒目,0
怒气冲冲,0
怒气冲天,0
怒形于色,0
怒叱,0
怕,85
怕生,0
怕羞,0
拍案而起,0
排揎,0
徘徊,7
派不是,0
旁敲侧击,0
抨,0
抨击,0
批,691
批斗,0
苶,0
皮里阳秋,0
屁滚尿流,0
偏废,0
品头论足,0
评头论足,0
评头品足,0
颇有微词,1
破口大骂,1
魄散魂飞,0
迫不及待,0
戚戚,0
戚然,0
七窍生烟,0
凄惶,0
凄切,0
凄然,0
凄酸,0
凄婉,0
凄怨,0
凄恻,0
歧视,11
骑虎难下,0
起疑心,0
气,636
气昂昂,0
气不忿,0
气不过,1
气不平,0
气冲冲,0
气冲牛斗,0
气短,3
气忿,0
气忿忿,0
气愤,63
气愤愤,0
气鼓鼓,0
气狠狠,0
气哼哼,0
气呼呼,0
气乎乎,0
气急败坏,0
气恼,3
气馁,0
气头上,1
气汹汹,0
牵念,0
迁怒,0
谴,11
谴责,11
歉然,0
歉甚,0
瞧不起,0
瞧不上,0
瞧不上眼,0
切齿,0
切齿痛恨,0
怯,0
怯阵,0
轻,233
轻忽,0
轻看,0
轻蔑,0
轻视,1
清算,7
穷极无聊,0
饶,12
饶人,0
饶恕,1
惹气,0
人身攻击,1
忍让,0
柔肠百结,0
柔肠寸断,0
如泣如诉,0
如丧考妣,0
如鲠在喉,0
辱骂,6
撒气,0
三心二意,0
丧胆,0
丧魂落魄,0
丧气,0
丧志,0
扫兴,3
杀气,0
傻眼,0
伤,489
伤悲,0
伤怀,0
伤神,1
伤心,2
慑,54
申斥,0
申讨,0
申饬,0
深恶痛绝,5
深以为异,0
声讨,1
生恐,0
生怕,1
生气,24
生疑,10
失悔,0
失节,0
失神,2
失望,34
失意,0
使性子,0
示不满,8
示不同意,0
示怒,0
势成骑虎,0
视同儿戏,0
视同蝼蚁,0
首鼠两端,0
受窘,0
疏,86
数落,3
数说,0
恕,1
恕宥,0
说,913
说不,70
说风凉话,0
说怪话,0
酸,263
酸楚,0
酸溜溜,0
缩头缩脑,0
谈虎色变,0
讨,109
讨厌,1
提心吊胆,2
啼笑皆非,1
体谅,0
体念,0
体惜,0
体恤,0
天怒人怨,0
挑刺儿,0
挑毛病,0
同病相怜,0
同情,18
痛,79
痛不欲生,0
痛斥,1
痛恶,2
痛恨,2
痛骂,1
痛惜,1
痛心,1
痛心疾首,0
痛责,0
投诉,459
兔死狐悲,0
颓,2
颓废,0
颓靡,0
颓然,0
颓丧,0
颓唐,0
唾骂,0
挖苦,1
玩,94
玩忽,6
玩世不恭,0
惋,0
惋惜,0
万箭穿心,0
万念俱灰,0
往心里去,0
望而生畏,1
微愠,0
唯恐,1
惟恐,0
为难,11
萎靡,0
委决不下,0
委靡,0
委屈,2
委罪,0
畏,9
畏忌,0
畏惧,1
畏葸,0
闻风丧胆,0
问心有愧,0
窝火,0
窝囊,0
窝气,0
窝心,1
无地自容,0
无精打采,0
无聊,2
无名火起,0
无视,19
无所谓,4
无心,2
